Age,M,F
0-4,3074054,2913215
5-9,3199481,3033522
10-14,3555659,3372536
15-19,3981653,3786926
20-24,4508632,4314239
25-29,5130963,4911336
30-34,4341952,4205133
35-39,4070655,3917974
40-44,4105473,3963779
45-49,4803311,4678677
50-54,5199074,5176784
55-59,4193303,4315528
60-64,3703184,3928926
65-69,3243675,3682851
70-74,2481486,3143747
75-79,1473074,2385179
80-84,875139,1617665
85-89,451369,974715
90-94,135380,357050
95-99,26506,84401
100+,1518,6339
