Age,M,F
0-4,4880920,4644110
5-9,4378085,4158773
10-14,4086452,3886812
15-19,4448281,4243041
20-24,5362332,5163502
25-29,5074417,4972919
30-34,4373772,4315559
35-39,4180073,4147862
40-44,3885790,3915863
45-49,3013905,3425200
50-54,2261337,2836101
55-59,2065981,2503425
60-64,1838380,2136791
65-69,1450728,1678434
70-74,1012803,1239369
75-79,575169,791278
80-84,259398,427557
85-89,85560,178724
90-94,17722,49073
95-99,2440,7727
100+,73,292
