Age,M,F
0-4,3928442,3725678
5-9,4239819,4025948
10-14,5127799,4877116
15-19,4722989,4513203
20-24,4262038,4071843
25-29,4042519,3873427
30-34,4558884,4377465
35-39,5425072,5269685
40-44,4779794,4739773
45-49,4200181,4199204
50-54,3935536,4027753
55-59,3494442,3702882
60-64,2513551,3135220
65-69,1836106,2494190
70-74,1514411,2092746
75-79,1039781,1506378
80-84,554852,898070
85-89,210892,400832
90-94,49544,115318
95-99,6293,17977
100+,326,1140
