Age,M,F
0-4,5871413,5644559
5-9,5523686,5357261
10-14,5313328,5201015
15-19,4796772,4909473
20-24,3971678,4118283
25-29,3260280,3408734
30-34,2707765,2852595
35-39,2263534,2359761
40-44,1764801,1804146
45-49,1486974,1499327
50-54,1181699,1226698
55-59,990195,1084213
60-64,809496,926125
65-69,617979,720195
70-74,399535,504220
75-79,291349,382453
80-84,168755,230844
85-89,84294,118427
90-94,28821,42129
95-99,6766,10305
100+,1270,1981
