Age,M,F
0-4,5377029,5211925
5-9,4647052,4527927
10-14,3854767,3799017
15-19,3204441,3194630
20-24,2600116,2615924
25-29,1965067,1964431
30-34,1636648,1603962
35-39,1328792,1318928
40-44,1154777,1191263
45-49,997396,1058406
50-54,824876,876600
55-59,599324,675915
60-64,515910,593476
65-69,390166,455415
70-74,302018,350649
75-79,192994,226457
80-84,99552,120550
85-89,41236,52289
90-94,13128,17023
95-99,3013,3936
100+,397,524
