Age,M,F
0-4,1925590,1833656
5-9,1951127,1858527
10-14,1983733,1889973
15-19,2046252,1951759
20-24,2112538,2019261
25-29,2143420,2053735
30-34,2176197,2089955
35-39,2242431,2157756
40-44,2304621,2221738
45-49,2319716,2243574
50-54,2396369,2324549
55-59,2278898,2224069
60-64,2063746,2031200
65-69,2112533,2104082
70-74,2131772,2157141
75-79,1993704,2102241
80-84,1633283,1814383
85-89,1132572,1324560
90-94,621938,810425
95-99,218369,333247
100+,31824,61852
