Age,M,F
0-4,1837458,1750847
5-9,1730136,1641867
10-14,1971469,1873124
15-19,2332553,2238520
20-24,2402756,2353286
25-29,2027855,2003581
30-34,1870451,1845046
35-39,2063304,2058879
40-44,1721796,1705322
45-49,1574051,1573365
50-54,1525178,1526530
55-59,1514740,1574862
60-64,1499115,1658764
65-69,1151110,1394165
70-74,1017334,1381179
75-79,688418,1132180
80-84,345473,753221
85-89,117051,370227
90-94,30134,125125
95-99,4692,25289
100+,428,2674
