Age,M,F
0-4,29225647,27926097
5-9,28141678,26985420
10-14,25983078,24996570
15-19,21036562,20565772
20-24,24922552,24859071
25-29,22529633,22631643
30-34,23052219,24549050
35-39,18731887,22758982
40-44,13420924,16538172
45-49,16998513,21447537
50-54,16540476,20236935
55-59,14214078,18109791
60-64,10882251,15059477
65-69,7955794,12046792
70-74,5897621,9387979
75-79,3782659,6203428
80-84,1940148,3338906
85-89,670911,1329571
90-94,130723,305782
95-99,17244,49036
100+,1456,4898
