Age,M,F
0-4,16653236,15787061
5-9,17318170,16421987
10-14,17854802,16934073
15-19,18069107,17167812
20-24,18042021,17222683
25-29,18152842,17425683
30-34,18784504,18111592
35-39,19872911,19236932
40-44,21063663,20491459
45-49,21674521,21204538
50-54,21066863,20793452
55-59,19337338,19338503
60-64,18899699,19285497
65-69,19967725,21192919
70-74,20498663,23241438
75-79,18005187,21832815
80-84,14403427,18868209
85-89,10068434,14442201
90-94,5324856,8707199
95-99,1703078,3405029
100+,255693,662673
