Age,M,F
0-4,17384942,16480968
5-9,17879800,16956940
10-14,18946751,17972412
15-19,20333208,19315315
20-24,21344232,20338020
25-29,21235030,20345363
30-34,20077795,19327236
35-39,20462105,19773151
40-44,23086470,22484692
45-49,25963011,25868707
50-54,25433037,26012618
55-59,24181578,25541651
60-64,22994349,25053695
65-69,21403528,24442733
70-74,19715813,24338161
75-79,15656173,21336189
80-84,10864338,16530335
85-89,6284015,10352548
90-94,2333256,4526692
95-99,627401,1570279
100+,75132,251588
