Age,M,F
0-4,17775697,16850038
5-9,17599252,16689762
10-14,17539149,16637737
15-19,18098448,17200713
20-24,19307746,18434547
25-29,20788303,19949753
30-34,21771265,20962908
35-39,21521827,20816821
40-44,20157155,19594452
45-49,20284755,19839092
50-54,22466290,22305700
55-59,24635752,25351040
60-64,23450154,25160027
65-69,21514651,24256053
70-74,19574089,23125080
75-79,17043583,21421619
80-84,13530783,18923088
85-89,8214632,13109944
90-94,3567579,6683775
95-99,965014,2104525
100+,115507,330599
