Age,M,F
0-4,21295149,20215473
5-9,24900574,23727855
10-14,25635656,24520440
15-19,25598760,24625254
20-24,26241460,25397761
25-29,26971620,26311349
30-34,28270201,27901882
35-39,28038572,27945492
40-44,26235153,26528263
45-49,23563563,24103214
50-54,18474959,19391579
55-59,20336638,22743379
60-64,16910812,19783626
65-69,15225398,20208668
70-74,10386578,16957622
75-79,5451462,10103805
80-84,4240798,9484352
85-89,1826321,4971272
90-94,462059,1613742
95-99,64406,294683
100+,5384,29199
