Age,M,F
0-4,17523946,16612368
5-9,17461454,16559803
10-14,17957509,17035246
15-19,19087793,18139594
20-24,20552643,19615039
25-29,21580241,20679154
30-34,21433213,20636361
35-39,20178861,19515152
40-44,20433450,19851055
45-49,22859247,22443369
50-54,25424868,25672947
55-59,24598322,25666660
60-64,23003093,25008856
65-69,21440291,24260424
70-74,19475830,23241142
75-79,16990539,22221503
80-84,12223415,17903978
85-89,7129901,11863321
90-94,3075148,5739820
95-99,707465,1601497
100+,98593,307517
