Age,M,F
0-4,20289746,19245420
5-9,18904228,17952856
10-14,19300510,18344659
15-19,22211828,21110182
20-24,25898646,24957152
25-29,26332797,25796961
30-34,26121808,25977833
35-39,26287911,26240223
40-44,26209151,26558091
45-49,27167204,28093197
50-54,25637291,27373058
55-59,22925227,25524233
60-64,19463498,22170750
65-69,14551470,17739737
70-74,13772498,19020625
75-79,9636635,14630118
80-84,6347063,11779110
85-89,2732375,6576829
90-94,662173,2007170
95-99,150120,628240
100+,13184,71191
