Age,M,F
0-4,18844061,17876856
5-9,19056971,18113457
10-14,21631909,20569944
15-19,25359883,24221611
20-24,26137099,25258656
25-29,25903429,25455133
30-34,26320930,26035137
35-39,26834221,26752342
40-44,27668158,28028820
45-49,26691188,27671041
50-54,24230594,25926128
55-59,21226846,23202109
60-64,15967435,18336548
65-69,16196201,20704298
70-74,12241562,16896460
75-79,9256219,15226872
80-84,5064013,10511146
85-89,1774182,4429498
90-94,693382,2294496
95-99,116167,503262
100+,9005,50612
