Age,M,F
0-4,16234021,15389845
5-9,16729532,15864640
10-14,17397060,16500380
15-19,17997520,17098836
20-24,18295290,17460189
25-29,18295982,17557053
30-34,18381070,17717397
35-39,18919434,18305753
40-44,19883904,19328145
45-49,20945275,20494373
50-54,21405663,21121857
55-59,20636096,20626485
60-64,18739506,19086733
65-69,18059087,18886991
70-74,18646721,20449054
75-79,18343656,21752277
80-84,14989917,19259089
85-89,10431329,14786102
90-94,5600234,9049567
95-99,1893966,3627532
100+,315448,791994
