Age,M,F
0-4,16093028,15256091
5-9,16310908,15467873
10-14,16809033,15943457
15-19,17541001,16665807
20-24,18225894,17392015
25-29,18551507,17795283
30-34,18527760,17849962
35-39,18526206,17915277
40-44,18952133,18405360
45-49,19799169,19344673
50-54,20711187,20426262
55-59,20987249,20962287
60-64,20023936,20371765
65-69,17957542,18721898
70-74,17007609,18307128
75-79,16907244,19294193
80-84,15409953,19305213
85-89,11007214,15273435
90-94,5923719,9438745
95-99,2047409,3885798
100+,364286,884248
