Age,M,F
0-4,28805556,27493560
5-9,29118096,27909613
10-14,28068598,26896140
15-19,25911618,24881413
20-24,20910354,20425473
25-29,24727293,24624258
30-34,22312916,22346567
35-39,22831459,24299167
40-44,18466481,22491520
45-49,13079015,16255219
50-54,16373909,21092203
55-59,15575573,19719596
60-64,12866245,17256907
65-69,9258133,13814418
70-74,6241874,10310160
75-79,4064340,7211529
80-84,2137636,4015535
85-89,769415,1556742
90-94,170159,412017
95-99,19340,56408
100+,1512,5224
