Age,M,F
0-4,28404273,27175335
5-9,25783883,24893311
10-14,21106594,20644371
15-19,25418517,25187422
20-24,22911642,23079452
25-29,23539507,24878023
30-34,19205926,23086657
35-39,13787862,16954971
40-44,17551030,21914897
45-49,17282901,20822708
50-54,15280329,18818475
55-59,12127099,15902088
60-64,9388203,13200647
65-69,7567108,11088971
70-74,5585029,8372222
75-79,3551423,5492594
80-84,1731786,2928890
85-89,531913,1018341
90-94,120469,273987
95-99,16767,45525
100+,1806,5810
