Age,M,F
0-4,25417842,24289361
5-9,26149383,24999780
10-14,27052568,25899511
15-19,28774666,27557048
20-24,28884924,27772730
25-29,27322810,26660022
30-34,25079686,24571080
35-39,20157749,20065833
40-44,23483422,24107352
45-49,20815890,21545636
50-54,20886520,23206934
55-59,16235215,21325811
60-64,10638108,14781510
65-69,12038139,18162093
70-74,9490820,15388730
75-79,5874788,10997591
80-84,2766021,6198201
85-89,1007117,2681925
90-94,259253,827523
95-99,38529,139150
100+,3071,12174
