Age,M,F
0-4,15658856,14844977
5-9,16034412,15205569
10-14,16284371,15445486
15-19,16435549,15616610
20-24,16634437,15877417
25-29,17042922,16349543
30-34,17704827,17043006
35-39,18446341,17801059
40-44,18946400,18338974
45-49,18968148,18441325
50-54,18574216,18177256
55-59,18162596,17952398
60-64,18083185,18154517
65-69,18237670,18732813
70-74,18216212,19287236
75-79,17300117,19013599
80-84,14836854,17130432
85-89,10771321,13424820
90-94,6552446,9273130
95-99,2734371,4685136
100+,599167,1348844
