Age,M,F
0-4,18883017,17918269
5-9,21352678,20303541
10-14,25115426,23935473
15-19,25749912,24696811
20-24,25512358,24783200
25-29,26041372,25549826
30-34,26786201,26419876
35-39,27942013,27908765
40-44,27421926,27804298
45-49,25365320,26236527
50-54,22491346,23676128
55-59,17371937,18949669
60-64,18452270,21877821
65-69,14733562,18606647
70-74,12339798,18128831
75-79,7708277,14096372
80-84,3458780,7360516
85-89,2026348,5458768
90-94,582751,1995591
95-99,85468,387028
100+,6392,36919
