Age,M,F
0-4,17804681,16879150
5-9,18870650,17895192
10-14,20196039,19150373
15-19,21131400,20040979
20-24,21000906,20005125
25-29,19875726,19035047
30-34,20369475,19588660
35-39,23182026,22431242
40-44,26304138,25955294
45-49,26005280,26226091
50-54,25038997,25906771
55-59,24228058,25616592
60-64,23008337,25283606
65-69,21927104,25750211
70-74,18449613,23580930
75-79,14175256,19958718
80-84,9714538,14546896
85-89,4915197,8395193
90-94,2155881,4619535
95-99,496009,1311379
100+,57726,218498
