Age,M,F
0-4,16125761,15286897
5-9,16207824,15369790
10-14,16250581,15413832
15-19,16536937,15713617
20-24,17187760,16404715
25-29,18035336,17297460
30-34,18724088,18023444
35-39,18939773,18290180
40-44,18729777,18157008
45-49,18530454,18054970
50-54,18739794,18398731
55-59,19297938,19181536
60-64,19808168,20070993
65-69,19614116,20362590
70-74,18219637,19462313
75-79,15653103,17351227
80-84,13533606,15839702
85-89,10996337,14200925
90-94,6785676,10253321
95-99,2471638,4516183
100+,461781,1089242
