Age,M,F
0-4,15956290,15126485
5-9,16203586,15365737
10-14,16288368,15449359
15-19,16397262,15580808
20-24,16772609,16009613
25-29,17455044,16743520
30-34,18279614,17594857
35-39,18883213,18226618
40-44,18996153,18399567
45-49,18695977,18195744
50-54,18397749,18030784
55-59,18475149,18306316
60-64,18843723,19000762
65-69,19105445,19754381
70-74,18634223,19840475
75-79,16857368,18609943
80-84,13696163,15901585
85-89,10504980,13214508
90-94,6683275,9688126
95-99,2695755,4783810
100+,530526,1223363
