Age,M,F
0-4,27048165,25886257
5-9,28706116,27486906
10-14,29154381,27836167
15-19,27826568,26738962
20-24,25547193,24684192
25-29,20607919,20176760
30-34,24316678,24337998
35-39,21907443,21966395
40-44,22469052,23950307
45-49,18003452,22268026
50-54,12470595,15849603
55-59,15416041,20523718
60-64,14114861,18879700
65-69,10990005,15910351
70-74,7195611,11893841
75-79,4243862,7860383
80-84,2288372,4748623
85-89,865429,1933750
90-94,200338,501220
95-99,26122,79948
100+,1798,6262
