Age,M,F
0-4,15351758,14554428
5-9,15737253,14924333
10-14,16115420,15285526
15-19,16432020,15613069
20-24,16673792,15913660
25-29,16906867,16218130
30-34,17296947,16650716
35-39,17879252,17252380
40-44,18518992,17917589
45-49,18926985,18385028
50-54,18854510,18427467
55-59,18354128,18107103
60-64,17809573,17820132
65-69,17554489,17926742
70-74,17463816,18335636
75-79,16995238,18544035
80-84,15310285,17573021
85-89,11789362,14590479
90-94,6850023,9615738
95-99,2761230,4654508
100+,632154,1397042
