Age,M,F
0-4,24625758,23454282
5-9,25329301,24230543
10-14,25480743,24446775
15-19,26328301,25250842
20-24,27036582,26071901
25-29,28420772,27697125
30-34,28367936,27837830
35-39,26767761,26588741
40-44,24313670,24333138
45-49,19284208,19671232
50-54,21772663,23330378
55-59,18641410,20572138
60-64,17673985,21625188
65-69,12796412,18999532
70-74,7427855,12192850
75-79,6880106,13133834
80-84,3955078,8810299
85-89,1491585,4107729
90-94,352652,1245630
95-99,53122,229255
100+,4836,24432
