Age,M,F
0-4,16130273,15291211
5-9,16170271,15334418
10-14,16390902,15547036
15-19,16954113,16109549
20-24,17771997,16959986
25-29,18485235,17728114
30-34,18786119,18089164
35-39,18677733,18049652
40-44,18572009,18020058
45-49,18894124,18433044
50-54,19609437,19295103
55-59,20340079,20287093
60-64,20392636,20718019
65-69,19223681,20002598
70-74,16977110,18189360
75-79,15595295,17398326
80-84,14451316,17355060
85-89,11470132,15472515
90-94,6383269,9943887
95-99,2228664,4163822
100+,408847,982162
