Age,M,F
0-4,25313304,24168534
5-9,25412290,24329588
10-14,26211127,25056393
15-19,27081963,25953166
20-24,28609702,27652027
25-29,28608390,27815619
30-34,27067773,26634772
35-39,24714953,24485879
40-44,19767213,19924930
45-49,22698949,23788566
50-54,19849546,21136246
55-59,19454678,22555829
60-64,14685210,20348715
65-69,9175791,13712151
70-74,9578177,16039675
75-79,6597683,12363980
80-84,3337006,7494667
85-89,1172634,3261996
90-94,291129,980234
95-99,45820,185971
100+,4046,17864
