Age,M,F
0-4,20060590,19009129
5-9,20936156,19814776
10-14,20678624,19570838
15-19,19460321,18434936
20-24,19978933,18999210
25-29,23017820,22021518
30-34,26558590,25823486
35-39,26598101,26332500
40-44,26008336,26251264
45-49,25752077,26254025
50-54,25218067,26299716
55-59,25299997,27451322
60-64,22739495,26160696
65-69,19254389,23788032
70-74,15338380,19710300
75-79,10423079,14777410
80-84,7879923,13228222
85-89,4034151,7768207
90-94,1513242,3789762
95-99,288123,987667
100+,22579,102056
