Age,M,F
0-4,26303455,25124503
5-9,27000488,25852668
10-14,28683667,27420050
15-19,28966518,27729089
20-24,27568114,26725149
25-29,25360892,24649059
30-34,20466703,20154839
35-39,23992526,24263990
40-44,21470109,21794921
45-49,21839166,23622337
50-54,17305550,21941924
55-59,11719783,15437049
60-64,14000985,19553235
65-69,12035572,17478964
70-74,8553909,13829624
75-79,4873370,9241462
80-84,2406106,5227605
85-89,933916,2350289
90-94,231167,645233
95-99,31299,98839
100+,2407,8926
