Age,M,F
0-4,20661641,19567990
5-9,20458564,19399237
10-14,19170258,18172247
15-19,19643883,18634192
20-24,22578891,21537906
25-29,26214186,25405662
30-34,26517011,26123272
35-39,26117580,26170083
40-44,26054369,26275388
45-49,25824141,26504023
50-54,26347040,27835480
55-59,24367837,26894773
60-64,21258908,24809607
65-69,17600667,21225136
70-74,12688788,16598268
75-79,11000713,16693979
80-84,6845099,11607179
85-89,3567815,7631479
90-94,1089264,3112284
95-99,157315,584760
100+,18530,93533
