Age,M,F
0-4,15157726,14370854
5-9,15430444,14633976
10-14,15818511,15004464
15-19,16263579,15453394
20-24,16671273,15910580
25-29,16947785,16255042
30-34,17163710,16520540
35-39,17477327,16862682
40-44,17961787,17373326
45-49,18511557,17969324
50-54,18825346,18377380
55-59,18646063,18364150
60-64,18021394,17986424
65-69,17330109,17619429
70-74,16875023,17587393
75-79,16391248,17700406
80-84,15153178,17237766
85-89,12289226,15091105
90-94,7629888,10627040
95-99,2964947,4980366
100+,657852,1448948
