Age,M,F
0-4,17701827,16779698
5-9,17849648,16925926
10-14,17676554,16767038
15-19,17679068,16801074
20-24,18317379,17490495
25-29,19545485,18763733
30-34,20982881,20229897
35-39,21853327,21138218
40-44,21487479,20890020
45-49,20021325,19587756
50-54,19996518,19742794
55-59,21870860,22064822
60-64,23548387,24878734
65-69,21997541,24442761
70-74,19722791,23176474
75-79,17213914,21401698
80-84,13840657,18522055
85-89,9317568,14168127
90-94,4232122,7593745
95-99,1155636,2516095
100+,159421,434778
