Age,M,F
0-4,17242621,16344983
5-9,17776548,16856117
10-14,17927379,17003545
15-19,17817463,16930855
20-24,17901608,17092148
25-29,18563436,17822355
30-34,19754835,19048884
35-39,21079789,20410440
40-44,21817949,21211835
45-49,21342123,20880605
50-54,19756329,19502877
55-59,19543740,19561353
60-64,21038791,21705949
65-69,22169811,24208565
70-74,20245626,23411117
75-79,17444767,21530524
80-84,14092016,18634795
85-89,9761149,14177780
90-94,4940395,8452822
95-99,1416870,2955362
100+,201676,542908
