Age,M,F
0-4,9814639,9356189
5-9,10063854,9595644
10-14,10344227,9867005
15-19,10620232,10119307
20-24,10852852,10324002
25-29,11010651,10465771
30-34,11107212,10558963
35-39,11178953,10638446
40-44,11244500,10720812
45-49,11337784,10848235
50-54,11431301,11028852
55-59,10518492,10142606
60-64,10171891,9991930
65-69,9106620,9339520
70-74,7326161,8070689
75-79,5521715,6846636
80-84,4086586,5616856
85-89,2086871,3283532
90-94,729950,1390055
95-99,143701,353629
100+,13615,43874
