Age,M,F
0-4,4004493,3814698
5-9,4123169,3927794
10-14,4250967,4049707
15-19,4373094,4167718
20-24,4502540,4297379
25-29,4641455,4438686
30-34,4812060,4611404
35-39,4984019,4788260
40-44,5157264,4970461
45-49,5301837,5130920
50-54,5415708,5271578
55-59,5552858,5451315
60-64,5697685,5662155
65-69,5778965,5846544
70-74,5789486,6012420
75-79,5543269,5976643
80-84,4715538,5380764
85-89,3585289,4480484
90-94,2361023,3384977
95-99,1108497,1930247
100+,333064,775667
