Age,M,F
0-4,4518484,4303764
5-9,4668288,4446588
10-14,4853760,4623633
15-19,5043576,4807798
20-24,5233369,5000736
25-29,5401865,5178546
30-34,5557320,5346381
35-39,5762308,5566945
40-44,6015715,5842131
45-49,6272645,6131714
50-54,6573727,6482768
55-59,6790422,6780011
60-64,6612475,6717399
65-69,6404156,6685169
70-74,6410377,6931423
75-79,6001045,6790921
80-84,4844816,5853314
85-89,3478434,4644514
90-94,2002690,3101133
95-99,740405,1399004
100+,175879,437364
